slug,origin_iata,destination_iata,origin_city,destination_city,distance_km,airline_count,avg_duration_min,has_stopdist,price_sample_count,itinerary_count,last_health_check_at,bucket
bud-cph,BUD,CPH,Budapest,Copenhagen,1017,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
bud-jed,BUD,JED,Budapest,Jeddah,3376,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
bud-lhr,BUD,LHR,Budapest,London,1489,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
bud-mad,BUD,MAD,Budapest,Madrid,1973,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
bud-osl,BUD,OSL,Budapest,Oslo,1514,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
cgd-dub,CGD,DUB,Changde,Dublin,9084,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
cgd-ist,CGD,IST,Changde,Istanbul,7383,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
cgd-jed,CGD,JED,Changde,Jeddah,7221,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
cgd-muc,CGD,MUC,Changde,Munich,8320,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
cgd-pmi,CGD,PMI,Changde,Palma de Mallorca,9438,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
cgd-prg,CGD,PRG,Changde,Prague,8074,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
cph-pmi,CPH,PMI,Copenhagen,Palma de Mallorca,1931,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
doh-fra,DOH,FRA,Doha,Frankfurt,4589,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
doh-lhr,DOH,LHR,Doha,London,5243,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
doh-mad,DOH,MAD,Doha,Madrid,5332,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
dub-bud,DUB,BUD,Dublin,Budapest,1913,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
fra-bru,FRA,BRU,Frankfurt,Brussels,305,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
fra-hel,FRA,HEL,Frankfurt,Helsinki,1538,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
gva-bru,GVA,BRU,Geneva,Brussels,532,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
gva-man,GVA,MAN,Geneva,Manchester,993,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
gva-mxp,GVA,MXP,Geneva,Milan,213,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
gva-pmi,GVA,PMI,Geneva,Palma de Mallorca,792,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
hel-ams,HEL,AMS,Helsinki,Amsterdam,1521,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
hel-arn,HEL,ARN,Helsinki,Stockholm,398,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
hel-auh,HEL,AUH,Helsinki,Abu Dhabi,4595,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
hel-bcn,HEL,BCN,Helsinki,Barcelona,2628,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
hel-cgd,HEL,CGD,Helsinki,Changde,7068,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
hel-doh,HEL,DOH,Helsinki,Doha,4399,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
hel-fco,HEL,FCO,Helsinki,Rome,2234,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
hel-fra,HEL,FRA,Helsinki,Frankfurt,1538,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
hel-lis,HEL,LIS,Helsinki,Lisbon,3364,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
hel-mad,HEL,MAD,Helsinki,Madrid,2945,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
hel-man,HEL,MAN,Helsinki,Manchester,1811,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
hel-mxp,HEL,MXP,Helsinki,Milan,1950,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
hel-nce,HEL,NCE,Helsinki,Nice,2200,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
hel-ord,HEL,ORD,Helsinki,Chicago,7119,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
hel-pmi,HEL,PMI,Helsinki,Palma de Mallorca,2774,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
hel-ruh,HEL,RUH,Helsinki,Riyadh,4271,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
hel-vie,HEL,VIE,Helsinki,Vienna,1460,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
ist-mxp,IST,MXP,Istanbul,Milan,1682,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
jed-cgd,JED,CGD,Jeddah,Changde,7221,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
jed-doh,JED,DOH,Jeddah,Doha,1330,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
jed-fra,JED,FRA,Jeddah,Frankfurt,4135,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
jed-hel,JED,HEL,Jeddah,Helsinki,4441,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
jed-ist,JED,IST,Jeddah,Istanbul,2391,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
jed-lis,JED,LIS,Jeddah,Lisbon,4951,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
jed-mad,JED,MAD,Jeddah,Madrid,4520,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
jed-muc,JED,MUC,Jeddah,Munich,3836,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
jed-osl,JED,OSL,Jeddah,Oslo,4814,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
jed-ruh,JED,RUH,Jeddah,Riyadh,851,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
jfk-arn,JFK,ARN,New York,Stockholm,6292,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
jfk-bru,JFK,BRU,New York,Brussels,5885,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
jfk-lgw,JFK,LGW,New York,London,5569,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
jfk-lis,JFK,LIS,New York,Lisbon,5405,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
jfk-mad,JFK,MAD,New York,Madrid,5760,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
jfk-zrh,JFK,ZRH,New York,Zürich,6310,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
kwi-bud,KWI,BUD,Kuwait City,Budapest,3188,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
kwi-fco,KWI,FCO,Kuwait City,Rome,3490,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
kwi-hel,KWI,HEL,Kuwait City,Helsinki,3859,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
kwi-ist,KWI,IST,Kuwait City,Istanbul,2191,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
kwi-jed,KWI,JED,Kuwait City,Jeddah,1220,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
kwi-lhr,KWI,LHR,Kuwait City,London,4674,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
kwi-mad,KWI,MAD,Kuwait City,Madrid,4795,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
kwi-mct,KWI,MCT,Kuwait City,Muscat,1203,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
kwi-muc,KWI,MUC,Kuwait City,Munich,3735,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
kwi-mxp,KWI,MXP,Kuwait City,Milan,3863,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
kwi-nce,KWI,NCE,Kuwait City,Nice,3933,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
kwi-osl,KWI,OSL,Kuwait City,Oslo,4400,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
kwi-waw,KWI,WAW,Kuwait City,Warsaw,3379,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
lgw-bud,LGW,BUD,London,Budapest,1464,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
lgw-man,LGW,MAN,London,Manchester,283,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
lhr-cgd,LHR,CGD,London,Changde,8899,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
lhr-jed,LHR,JED,London,Jeddah,4752,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
lhr-mct,LHR,MCT,London,Muscat,5833,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
lhr-osl,LHR,OSL,London,Oslo,1206,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
lis-mxp,LIS,MXP,Lisbon,Milan,1652,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
lis-ruh,LIS,RUH,Lisbon,Riyadh,5405,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
mad-kwi,MAD,KWI,Madrid,Kuwait City,4795,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
mad-pmi,MAD,PMI,Madrid,Palma de Mallorca,547,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
man-auh,MAN,AUH,Manchester,Abu Dhabi,5678,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
man-bud,MAN,BUD,Manchester,Budapest,1654,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
man-cgd,MAN,CGD,Manchester,Changde,8879,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
man-jed,MAN,JED,Manchester,Jeddah,4961,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
man-muc,MAN,MUC,Manchester,Munich,1130,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
man-nce,MAN,NCE,Manchester,Nice,1282,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
man-osl,MAN,OSL,Manchester,Oslo,1111,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
man-ruh,MAN,RUH,Manchester,Riyadh,5123,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
mct-auh,MCT,AUH,Muscat,Abu Dhabi,381,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
mct-bud,MCT,BUD,Muscat,Budapest,4345,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
mct-cgd,MCT,CGD,Muscat,Changde,5310,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
mct-cph,MCT,CPH,Muscat,Copenhagen,5136,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
mct-doh,MCT,DOH,Muscat,Doha,700,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
mct-hel,MCT,HEL,Muscat,Helsinki,4823,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
mct-jed,MCT,JED,Muscat,Jeddah,1971,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
mct-kwi,MCT,KWI,Muscat,Kuwait City,1203,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
mct-mad,MCT,MAD,Muscat,Madrid,5997,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
mct-osl,MCT,OSL,Muscat,Oslo,5441,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
muc-doh,MUC,DOH,Munich,Doha,4304,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
muc-nce,MUC,NCE,Munich,Nice,630,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
mxp-bru,MXP,BRU,Milan,Brussels,665,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
mxp-bud,MXP,BUD,Milan,Budapest,829,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
mxp-cgd,MXP,CGD,Milan,Changde,8667,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
mxp-doh,MXP,DOH,Milan,Doha,4424,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
mxp-hel,MXP,HEL,Milan,Helsinki,1950,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
mxp-kwi,MXP,KWI,Milan,Kuwait City,3863,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
mxp-mad,MXP,MAD,Milan,Madrid,1148,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
mxp-muc,MXP,MUC,Milan,Munich,381,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
mxp-nce,MXP,NCE,Milan,Nice,250,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
mxp-ord,MXP,ORD,Milan,Chicago,7260,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
mxp-pmi,MXP,PMI,Milan,Palma de Mallorca,834,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
nce-auh,NCE,AUH,Nice,Abu Dhabi,4784,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
nce-bru,NCE,BRU,Nice,Brussels,831,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
nce-bud,NCE,BUD,Nice,Budapest,1026,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
nce-jed,NCE,JED,Nice,Jeddah,3824,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
nce-lhr,NCE,LHR,Nice,London,1041,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
nce-lis,NCE,LIS,Nice,Lisbon,1468,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
nce-mct,NCE,MCT,Nice,Muscat,5130,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
nce-muc,NCE,MUC,Nice,Munich,630,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
nce-osl,NCE,OSL,Nice,Oslo,1857,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
nce-pmi,NCE,PMI,Nice,Palma de Mallorca,589,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
nce-prg,NCE,PRG,Nice,Prague,894,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
nce-ruh,NCE,RUH,Nice,Riyadh,4126,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
ord-arn,ORD,ARN,Chicago,Stockholm,6856,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
ord-ath,ORD,ATH,Chicago,Athens,8771,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
ord-bcn,ORD,BCN,Chicago,Barcelona,7094,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
osl-auh,OSL,AUH,Oslo,Abu Dhabi,5183,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
osl-bcn,OSL,BCN,Oslo,Barcelona,2190,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
osl-hel,OSL,HEL,Oslo,Helsinki,763,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
osl-man,OSL,MAN,Oslo,Manchester,1111,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
osl-muc,OSL,MUC,Oslo,Munich,1318,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
osl-nce,OSL,NCE,Oslo,Nice,1857,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
osl-ord,OSL,ORD,Oslo,Chicago,6505,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
pmi-auh,PMI,AUH,Palma de Mallorca,Abu Dhabi,5099,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
pmi-bud,PMI,BUD,Palma de Mallorca,Budapest,1590,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
pmi-cgd,PMI,CGD,Palma de Mallorca,Changde,9438,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
pmi-doh,PMI,DOH,Palma de Mallorca,Doha,4791,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
pmi-gva,PMI,GVA,Palma de Mallorca,Geneva,792,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
pmi-ist,PMI,IST,Palma de Mallorca,Istanbul,2202,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
pmi-mxp,PMI,MXP,Palma de Mallorca,Milan,834,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
prg-doh,PRG,DOH,Prague,Doha,4220,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
prg-gva,PRG,GVA,Prague,Geneva,741,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
prg-ord,PRG,ORD,Prague,Chicago,7298,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
ruh-arn,RUH,ARN,Riyadh,Stockholm,4452,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
ruh-auh,RUH,AUH,Riyadh,Abu Dhabi,805,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
ruh-bcn,RUH,BCN,Riyadh,Barcelona,4475,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
ruh-doh,RUH,DOH,Riyadh,Doha,496,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
ruh-fco,RUH,FCO,Riyadh,Rome,3671,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
ruh-mct,RUH,MCT,Riyadh,Muscat,1184,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
ruh-osl,RUH,OSL,Riyadh,Oslo,4770,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
vie-doh,VIE,DOH,Vienna,Doha,3970,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
vie-lgw,VIE,LGW,Vienna,London,1250,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
vie-pmi,VIE,PMI,Vienna,Palma de Mallorca,1458,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
vie-ruh,VIE,RUH,Vienna,Riyadh,3681,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
waw-arn,WAW,ARN,Warsaw,Stockholm,853,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
waw-dub,WAW,DUB,Warsaw,Dublin,1824,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
waw-fco,WAW,FCO,Warsaw,Rome,1327,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
waw-man,WAW,MAN,Warsaw,Manchester,1562,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
waw-mxp,WAW,MXP,Warsaw,Milan,1150,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
waw-ord,WAW,ORD,Warsaw,Chicago,7519,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
zrh-kwi,ZRH,KWI,Zürich,Kuwait City,3931,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
auh-arn,AUH,ARN,Abu Dhabi,Stockholm,4834,0,,False,0,0,2026-07-30T09:05:47.678+00:00,"E-investigate (health-checked, no offers; needs multi-date per P0-3)"
cgd-ath,CGD,ATH,Changde,Athens,7898,0,,False,0,0,2026-07-30T09:06:59.186+00:00,"E-investigate (health-checked, no offers; needs multi-date per P0-3)"
ist-ruh,IST,RUH,Istanbul,Riyadh,2457,0,,False,0,0,2026-07-30T09:05:04.313+00:00,"E-investigate (health-checked, no offers; needs multi-date per P0-3)"
lhr-kwi,LHR,KWI,London,Kuwait City,4674,0,,False,0,0,2026-07-30T09:11:02.341+00:00,"E-investigate (health-checked, no offers; needs multi-date per P0-3)"
mad-mxp,MAD,MXP,Madrid,Milan,1148,0,,False,0,0,2026-07-30T09:07:47.826+00:00,"E-investigate (health-checked, no offers; needs multi-date per P0-3)"
pmi-mad,PMI,MAD,Palma de Mallorca,Madrid,547,0,,False,0,0,2026-07-30T09:06:59.186+00:00,"E-investigate (health-checked, no offers; needs multi-date per P0-3)"
